"filename", "language", "Dart", "YAML", "Markdown", "Rust", "C", "Ruby", "C++", "JSON", "Swift", "XML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\CHANGELOG.md", "Markdown", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\README.md", "Markdown", 0, 0, -66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, -93
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -62, 0, -8, -16, -86
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -2
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\android\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, -1, -4
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\README.md", "Markdown", 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -17
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\analysis_options.yaml", "YAML", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -4, -29
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -51, 0, -5, -12, -68
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -4, -1, -8
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -6, -1, -34
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -4, -1, -8
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -5, -32
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -5, -21
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, -2, -4, -13
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, -2, -14
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -122, 0, 0, 0, 0, 0, -1, -123
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, -1, -24
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, -1, -1, -38
"c:\Users\acer\workspace1\langtube\packages\subtitles_parser\example\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -1, -1, -27
