"filename", "language", "YAML", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\actions_circular_menu.dart", "Dart", 0, -74, 0, 0, -9, -83
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\bottom_actions_bar.dart", "Dart", 0, -65, 0, 0, -7, -72
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\custom_loop_button.dart", "Dart", 0, -111, 0, 0, -7, -118
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\custom_position_indicator.dart", "Dart", 0, -51, 0, 0, -4, -55
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\custom_progress_bar.dart", "Dart", 0, -70, 0, 0, -7, -77
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\full_screen_player_actions.dart", "Dart", 0, -150, 0, -49, -14, -213
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\hd_button.dart", "Dart", 0, -23, 0, 0, -3, -26
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\mini_player_actions.dart", "Dart", 0, -61, 0, -1, -6, -68
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\orientation_toggler.dart", "Dart", 0, -23, 0, 0, -4, -27
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\playback_speed_button.dart", "Dart", 0, -41, 0, 0, -3, -44
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\settings.dart", "Dart", 0, -181, 0, 0, -8, -189
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\components\subtitle_box.dart", "Dart", 0, -83, 0, 0, -7, -90
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\custom_loop_provider.dart", "Dart", 0, -32, 0, -3, -8, -43
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\device_orientation_provider.dart", "Dart", 0, -22, 0, 0, -5, -27
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\hd_provider.dart", "Dart", 0, -24, 0, 0, -5, -29
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\playback_speed_provider.dart", "Dart", 0, -32, 0, 0, -5, -37
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\raw_loop_provider.dart", "Dart", 0, 0, 0, 0, -1, -1
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\subtitle_loop_provider.dart", "Dart", 0, -69, 0, 0, -11, -80
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\subtitles_config_provider.dart", "Dart", 0, -14, 0, -1, -4, -19
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\subtitles_download_progress_provider.dart", "Dart", 0, -9, 0, 0, -2, -11
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\subtitles_network_stream_provider.dart", "Dart", 0, -34, 0, -2, -6, -42
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\subtitles_player_provider.dart", "Dart", 0, -95, 0, 0, -9, -104
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\subtitles_provider.dart", "Dart", 0, -15, 0, 0, -2, -17
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\video_id_provider.dart", "Dart", 0, -23, 0, -7, -5, -35
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\providers\youtube_controller_provider.dart", "Dart", 0, -12, 0, 0, -3, -15
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\subtitles_player\main_subtitles_player.dart", "Dart", 0, -231, 0, -4, -15, -250
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\subtitles_player\mini_subtitles_player.dart", "Dart", 0, -52, 0, 0, -4, -56
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\utils\is_full_screen.dart", "Dart", 0, -6, 0, 0, -2, -8
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\utils\raw_loop_notifier.dart", "Dart", 0, -56, 0, 0, -10, -66
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\yotube_video_player_modes\full_screen_youtube_player.dart", "Dart", 0, -78, 0, -1, -6, -85
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\yotube_video_player_modes\iframe_youtube_player.dart", "Dart", 0, -71, 0, 0, -10, -81
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\yotube_video_player_modes\portrait_youtube_player.dart", "Dart", 0, -103, 0, 0, -9, -112
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\yotube_video_player_modes\subtitles_player_builders.dart", "Dart", 0, -62, 0, 0, -4, -66
"c:\Users\acer\workspace1\langtube\lib\youtube_video_player\youtube_video_player.dart", "Dart", 0, -62, 0, -13, -8, -83
"c:\Users\acer\workspace1\langtube\packages\tapster\CHANGELOG.md", "Markdown", 0, 0, 2, 0, 2, 4
"c:\Users\acer\workspace1\langtube\packages\tapster\README.md", "Markdown", 0, 0, 17, 12, 11, 40
"c:\Users\acer\workspace1\langtube\packages\tapster\analysis_options.yaml", "YAML", 1, 0, 0, 2, 2, 5
"c:\Users\acer\workspace1\langtube\packages\tapster\lib\src\tap_priority.dart", "Dart", 0, 5, 0, 0, 1, 6
