"filename", "language", "YAML", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\tapster\CHANGELOG.md", "Markdown", 0, 0, 2, 0, 2, 4
"c:\Users\acer\workspace1\langtube\packages\tapster\README.md", "Markdown", 0, 0, 17, 12, 11, 40
"c:\Users\acer\workspace1\langtube\packages\tapster\analysis_options.yaml", "YAML", 1, 0, 0, 2, 2, 5
"c:\Users\acer\workspace1\langtube\packages\tapster\lib\src\tap_priority.dart", "Dart", 0, 5, 0, 0, 1, 6
"c:\Users\acer\workspace1\langtube\packages\tapster\lib\src\tap_type.dart", "Dart", 0, 5, 0, 0, 2, 7
"c:\Users\acer\workspace1\langtube\packages\tapster\lib\src\taps_resolver.dart", "Dart", 0, 52, 0, 0, 8, 60
"c:\Users\acer\workspace1\langtube\packages\tapster\lib\src\tapster.dart", "Dart", 0, 35, 0, 1, 4, 40
"c:\Users\acer\workspace1\langtube\packages\tapster\lib\tapster.dart", "Dart", 0, 2, 0, 0, 2, 4
"c:\Users\acer\workspace1\langtube\packages\tapster\pubspec.yaml", "YAML", 17, 0, 0, 32, 8, 57
"c:\Users\acer\workspace1\langtube\packages\tapster\test\taps_resolver.dart", "Dart", 0, 32, 0, 0, 5, 37
"Total", "-", 18, 131, 19, 47, 45, 260
