"filename", "language", "Markdown", "YAML", "Properties", "Swift", "Shell Script", "C++", "JavaScript", "Dart", "Java", "Objective-C", "Gradle", "XML", "JSON", "Rust", "Ruby", "C", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\packages\aligned_bottom_sheet\CHANGELOG.md", "Markdown", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\aligned_bottom_sheet\README.md", "Markdown", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -40
"c:\Users\acer\workspace1\langtube\packages\aligned_bottom_sheet\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"c:\Users\acer\workspace1\langtube\packages\aligned_bottom_sheet\lib\aligned_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -873, 0, 0, 0, 0, 0, 0, 0, 0, -470, -139, -1482
"c:\Users\acer\workspace1\langtube\packages\aligned_bottom_sheet\pubspec.yaml", "YAML", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -8, -55
"c:\Users\acer\workspace1\langtube\packages\bottom_tabbed_navigator\CHANGELOG.md", "Markdown", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\bottom_tabbed_navigator\README.md", "Markdown", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -40
"c:\Users\acer\workspace1\langtube\packages\bottom_tabbed_navigator\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"c:\Users\acer\workspace1\langtube\packages\bottom_tabbed_navigator\lib\bottom_tabbed_navigator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"c:\Users\acer\workspace1\langtube\packages\bottom_tabbed_navigator\lib\src\keep_alive_wrapper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -27
"c:\Users\acer\workspace1\langtube\packages\bottom_tabbed_navigator\lib\src\navigator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -94
"c:\Users\acer\workspace1\langtube\packages\bottom_tabbed_navigator\lib\src\tab_navigation_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"c:\Users\acer\workspace1\langtube\packages\bottom_tabbed_navigator\pubspec.yaml", "YAML", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -8, -55
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\CHANGELOG.md", "Markdown", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\README.md", "Markdown", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -40
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\analysis_options.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\android\app\src\main\java\io\flutter\plugins\GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -3, -4, -24
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\android\local.properties", "Properties", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\ios\Flutter\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -14
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\ios\Runner\GeneratedPluginRegistrant.h", "C++", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -7, -20
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\ios\Runner\GeneratedPluginRegistrant.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -4, -6, -15
"c:\Users\acer\workspace1\langtube\packages\circular_inkwell\lib\circular_inkwell.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
