Date : 2024-02-02 15:29:34
Directory : c:\Users\acer\workspace1\langtube\packages\readability
Total : 482 files,  -12938 codes, -3390 comments, -3115 blanks, all -19443 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C            |          1 |         -1 |         -2 |         -1 |         -4 |
| Ruby         |          1 |        -17 |         -9 |         -3 |        -29 |
| Properties   |         20 |        -52 |         -1 |         -6 |        -59 |
| Objective-C  |         13 |        -77 |        -52 |        -80 |       -209 |
| Swift        |         15 |        -79 |        -38 |        -56 |       -173 |
| Shell Script |         25 |       -263 |        -50 |        -25 |       -338 |
| Rust         |          7 |       -270 |        -18 |        -58 |       -346 |
| JSON         |          4 |       -290 |          0 |         -4 |       -294 |
| XML          |         26 |       -309 |       -120 |        -29 |       -458 |
| Gradle       |         13 |       -361 |        -43 |        -92 |       -496 |
| Java         |         18 |       -367 |        -45 |        -92 |       -504 |
| YAML         |         57 |       -558 |     -1,003 |       -304 |     -1,865 |
| JavaScript   |          6 |       -633 |        -31 |        -86 |       -750 |
| C++          |         73 |       -747 |       -362 |       -500 |     -1,609 |
| Markdown     |         57 |       -898 |       -276 |       -444 |     -1,618 |
| Dart         |        146 |     -8,016 |     -1,340 |     -1,335 |    -10,691 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        482 |    -12,938 |     -3,390 |     -3,115 |    -19,443 |
| ..                                                                                                                                                    |        482 |    -12,938 |     -3,390 |     -3,115 |    -19,443 |
| ..\aligned_bottom_sheet                                                                                                                               |          5 |       -908 |       -516 |       -162 |     -1,586 |
| ..\aligned_bottom_sheet (Files)                                                                                                                       |          4 |        -35 |        -46 |        -23 |       -104 |
| ..\aligned_bottom_sheet\lib                                                                                                                           |          1 |       -873 |       -470 |       -139 |     -1,482 |
| ..\bottom_tabbed_navigator                                                                                                                            |          8 |       -152 |        -46 |        -43 |       -241 |
| ..\bottom_tabbed_navigator (Files)                                                                                                                    |          4 |        -35 |        -46 |        -23 |       -104 |
| ..\bottom_tabbed_navigator\lib                                                                                                                        |          4 |       -117 |          0 |        -20 |       -137 |
| ..\bottom_tabbed_navigator\lib (Files)                                                                                                                |          1 |         -3 |          0 |         -2 |         -5 |
| ..\bottom_tabbed_navigator\lib\src                                                                                                                    |          3 |       -114 |          0 |        -18 |       -132 |
| ..\circular_inkwell                                                                                                                                   |         18 |       -210 |        -95 |        -86 |       -391 |
| ..\circular_inkwell (Files)                                                                                                                           |          4 |        -35 |        -46 |        -23 |       -104 |
| ..\circular_inkwell\android                                                                                                                           |          2 |        -19 |         -3 |         -4 |        -26 |
| ..\circular_inkwell\android (Files)                                                                                                                   |          1 |         -2 |          0 |          0 |         -2 |
| ..\circular_inkwell\android\app                                                                                                                       |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\circular_inkwell\android\app\src                                                                                                                   |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\circular_inkwell\android\app\src\main                                                                                                              |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\circular_inkwell\android\app\src\main\java                                                                                                         |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\circular_inkwell\android\app\src\main\java\io                                                                                                      |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\circular_inkwell\android\app\src\main\java\io\flutter                                                                                              |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\circular_inkwell\android\app\src\main\java\io\flutter\plugins                                                                                      |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\circular_inkwell\ios                                                                                                                               |          3 |        -25 |        -10 |        -14 |        -49 |
| ..\circular_inkwell\ios\Flutter                                                                                                                       |          1 |        -11 |         -2 |         -1 |        -14 |
| ..\circular_inkwell\ios\Runner                                                                                                                        |          2 |        -14 |         -8 |        -13 |        -35 |
